Machine,Date/Time,Timestamp (Excel),Temperature (ÂºC)
1 (-20C),2018-09-06 22:45:02 UTC,43349.94793981481,-20.23
1 (-20C),2018-09-06 22:44:47 UTC,43349.9477662037,-20.19
1 (-20C),2018-09-06 22:44:32 UTC,43349.947592592594,-20.21
1 (-20C),2018-09-06 22:44:17 UTC,43349.94741898148,-20.21
1 (-20C),2018-09-06 22:44:02 UTC,43349.94724537037,-20.17
1 (-20C),2018-09-06 22:43:47 UTC,43349.94707175926,-20.05
1 (-20C),2018-09-06 22:43:32 UTC,43349.94689814815,-20.15
1 (-20C),2018-09-06 22:43:19 UTC,43349.946747685186,-20.12
1 (-20C),2018-09-06 22:43:18 UTC,43349.94673611112,-20.12
1 (-20C),2018-09-06 22:43:03 UTC,43349.9465625,-20.08
1 (-20C),2018-09-06 22:42:48 UTC,43349.946388888886,-20.02
1 (-20C),2018-09-06 22:42:33 UTC,43349.94621527778,-20.1
1 (-20C),2018-09-06 22:42:18 UTC,43349.94604166667,-20.04
1 (-20C),2018-09-06 22:42:04 UTC,43349.94587962963,-20.04
1 (-20C),2018-09-06 22:42:03 UTC,43349.945868055554,-20.04
1 (-20C),2018-09-06 22:41:48 UTC,43349.94569444444,-20.09
1 (-20C),2018-09-06 22:41:47 UTC,43349.94568287037,-20.09
1 (-20C),2018-09-06 22:41:32 UTC,43349.945509259254,-20.05
1 (-20C),2018-09-06 22:41:17 UTC,43349.94533564815,-20.13
1 (-20C),2018-09-06 22:41:02 UTC,43349.94516203704,-20.03
1 (-20C),2018-09-06 22:40:47 UTC,43349.94498842592,-20.06
